Payment measure name,Payment,Value of care category
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,970 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,888 ",Average mortality and average payment
Payment for heart failure patients,"$17,415 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,272 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,282 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$13,938 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$13,279 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,303 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,000 ",Average mortality and average payment
Payment for pneumonia patients,"$15,872 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$15,375 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,588 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,957 ",Average mortality and average payment
Payment for heart attack patients,"$22,962 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,828 ",Average complications and lower payment
Payment for heart attack patients,"$23,548 ",Average mortality and average payment
Payment for heart failure patients,"$15,271 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$22,362 ",Average complications and average payment
Payment for heart failure patients,"$15,090 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,027 ",Average mortality and average payment
Payment for heart failure patients,"$17,505 ",Average mortality and average payment
Payment for pneumonia patients,"$14,324 ",Average mortality and lower payment
Payment for heart failure patients,"$15,897 ",Average mortality and average payment
Payment for heart attack patients,"$23,594 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$15,574 ",Average mortality and average payment
Payment for heart failure patients,"$15,869 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$21,464 ",Average mortality and average payment
Payment for heart failure patients,"$17,135 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,802 ",Average complications and lower payment
Payment for pneumonia patients,"$17,068 ",Worse mortality and average payment
Payment for hip/knee replacement patients,"$18,788 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$20,352 ",Average complications and average payment
Payment for pneumonia patients,"$12,429 ",Average mortality and lower payment
Payment for heart attack patients,"$21,516 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$24,181 ",Average complications and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,236 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$17,591 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,060 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,744 ",Average mortality and average payment
Payment for heart attack patients,"$22,176 ",Average mortality and average payment
Payment for heart attack patients,"$22,290 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,779 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$22,600 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,676 ",Average mortality and average payment
Payment for heart attack patients,"$22,462 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,904 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,594 ",Average mortality and average payment
Payment for pneumonia patients,"$16,255 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$24,032 ",Average mortality and average payment
Payment for pneumonia patients,"$13,571 ",Average mortality and lower payment
Payment for heart failure patients,"$15,222 ",Average mortality and average payment
Payment for heart failure patients,"$15,623 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$14,724 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,467 ",Average mortality and average payment
Payment for pneumonia patients,"$18,478 ",Worse mortality and higher payment
Payment for hip/knee replacement patients,"$23,447 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$24,662 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$27,124 ",Average complications and higher payment
Payment for hip/knee replacement patients,"$23,107 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,184 ",Average mortality and average payment
Payment for pneumonia patients,"$14,271 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$21,402 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$26,454 ",Average complications and higher payment
Payment for pneumonia patients,"$17,824 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,789 ",Average mortality and average payment
Payment for heart failure patients,"$15,379 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$16,108 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,"$23,119 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,"$23,904 ",Average mortality and average payment
Payment for pneumonia patients,"$16,786 ",Worse mortality and average payment
Payment for hip/knee replacement patients,"$23,168 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$18,142 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,665 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,111 ",Average complications and average payment
Payment for pneumonia patients,"$13,764 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,140 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,982 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$24,330 ",Average mortality and average payment
Payment for pneumonia patients,"$16,605 ",Average mortality and average payment
Payment for pneumonia patients,"$15,841 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$24,419 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,582 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,865 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$13,578 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$20,001 ",Average mortality and lower payment
Payment for heart failure patients,"$15,431 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,499 ",Average complications and average payment
Payment for pneumonia patients,"$15,250 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,433 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$26,008 ",Average complications and higher payment
Payment for hip/knee replacement patients,"$21,474 ",Average complications and average payment
Payment for hip/knee replacement patients,"$22,685 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,599 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$26,152 ",Average complications and higher payment
Payment for heart failure patients,"$15,719 ",Average mortality and average payment
Payment for pneumonia patients,"$16,597 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$24,234 ",Average complications and higher payment
Payment for hip/knee replacement patients,"$21,637 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$20,161 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$19,110 ",Average mortality and higher payment
Payment for pneumonia patients,"$15,387 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,024 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,386 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,952 ",Average mortality and average payment
Payment for pneumonia patients,"$14,849 ",Average mortality and average payment
Payment for pneumonia patients,"$15,746 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,883 ",Average complications and lower payment
Payment for heart failure patients,"$15,044 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,314 ",Average complications and average payment
Payment for pneumonia patients,"$16,731 ",Average mortality and average payment
Payment for pneumonia patients,"$16,608 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,871 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$25,923 ",Average complications and higher payment
Payment for pneumonia patients,"$15,381 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$32,559 ",Average complications and higher payment
Payment for pneumonia patients,"$17,292 ",Better mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,704 ",Average mortality and average payment
Payment for heart failure patients,"$18,205 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,130 ",Average complications and average payment
Payment for heart attack patients,"$23,549 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$24,063 ",Average mortality and average payment
Payment for pneumonia patients,"$16,750 ",Worse mortality and average payment
Payment for hip/knee replacement patients,"$23,991 ",Average complications and average payment
Payment for hip/knee replacement patients,"$18,622 ",Better complications and lower payment
Payment for heart failure patients,"$16,103 ",Average mortality and average payment
Payment for heart failure patients,"$15,243 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,652 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,155 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,496 ",Average complications and lower payment
Payment for heart attack patients,"$21,347 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,267 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,658 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$26,714 ",Average complications and higher payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,853 ",Average complications and average payment
Payment for heart attack patients,"$21,822 ",Average mortality and average payment
Payment for pneumonia patients,"$16,315 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,097 ",Average mortality and average payment
Payment for heart failure patients,"$15,220 ",Average mortality and average payment
Payment for heart failure patients,"$16,661 ",Worse mortality and average payment
Payment for heart failure patients,"$17,296 ",Average mortality and average payment
Payment for pneumonia patients,"$19,340 ",Average mortality and higher payment
Payment for heart failure patients,"$17,050 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$17,299 ",Average mortality and average payment
Payment for heart attack patients,"$23,072 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$15,285 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,775 ",Average mortality and average payment
Payment for pneumonia patients,"$14,790 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$11,768 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$22,086 ",Average mortality and average payment
Payment for heart failure patients,"$16,602 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$18,162 ",Average mortality and higher payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$14,316 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,381 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,653 ",Average complications and average payment
Payment for pneumonia patients,"$17,039 ",Average mortality and average payment
Payment for pneumonia patients,"$15,757 ",Average mortality and lower payment
Payment for heart attack patients,"$21,211 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$22,937 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,365 ",Average mortality and average payment
Payment for heart failure patients,"$14,679 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$17,588 ",Average mortality and average payment
Payment for heart failure patients,"$14,619 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$25,150 ",Average complications and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$17,588 ",Average mortality and average payment
Payment for heart failure patients,"$15,503 ",Average mortality and average payment
Payment for pneumonia patients,"$18,791 ",Average mortality and higher payment
Payment for heart attack patients,"$24,596 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,444 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,733 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$22,553 ",Average complications and average payment
Payment for pneumonia patients,"$15,412 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$21,670 ",Average mortality and average payment
Payment for heart failure patients,"$16,186 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$23,469 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$21,224 ",Average mortality and average payment
Payment for heart failure patients,"$17,113 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$18,597 ",Worse mortality and higher payment
Payment for heart failure patients,"$16,341 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,151 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,792 ",Average mortality and lower payment
Payment for pneumonia patients,"$16,801 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$22,413 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,756 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,933 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$13,027 ",Average mortality and lower payment
Payment for heart failure patients,"$15,920 ",Average mortality and average payment
Payment for heart failure patients,"$15,927 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$20,758 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$22,065 ",Average complications and average payment
Payment for heart failure patients,"$13,066 ",Average mortality and lower payment
Payment for pneumonia patients,"$16,879 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,360 ",Average complications and average payment
Payment for hip/knee replacement patients,"$18,220 ",Average complications and lower payment
Payment for heart failure patients,"$15,240 ",Average mortality and average payment
Payment for pneumonia patients,"$18,726 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,253 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$21,560 ",Average complications and average payment
Payment for heart failure patients,"$17,052 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$17,547 ",Average mortality and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$14,431 ",Average mortality and average payment
Payment for pneumonia patients,"$19,920 ",Average mortality and higher payment
Payment for heart failure patients,"$15,042 ",Average mortality and average payment
Payment for pneumonia patients,"$18,654 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$14,893 ",Average mortality and lower payment
Payment for pneumonia patients,"$17,520 ",Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,148 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$14,149 ",Average mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$24,410 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,555 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,251 ",Average complications and average payment
Payment for heart attack patients,"$24,585 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$21,025 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,908 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,133 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$11,312 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,369 ",Average mortality and lower payment
Payment for pneumonia patients,"$13,296 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$12,186 ",Average mortality and lower payment
